[2018-04-26 13:52:16,009] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=20#page:200
[2018-04-26 13:52:16,875] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=21 HTTP/1.1" 200 None
[2018-04-26 13:52:17,036] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=21#page:200
[2018-04-26 13:52:18,227] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=22 HTTP/1.1" 200 None
[2018-04-26 13:52:18,438] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=22#page:200
[2018-04-26 13:52:19,444] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=23 HTTP/1.1" 200 88553
[2018-04-26 13:52:19,775] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=23#page:200
[2018-04-26 13:52:21,407] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=24 HTTP/1.1" 200 None
[2018-04-26 13:52:22,513] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=24#page:200
[2018-04-26 13:52:23,568] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=25 HTTP/1.1" 200 None
[2018-04-26 13:52:23,970] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=25#page:200
[2018-04-26 13:52:25,160] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=26 HTTP/1.1" 200 None
[2018-04-26 13:52:25,467] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=26#page:200
[2018-04-26 13:52:27,055] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=27 HTTP/1.1" 200 None
[2018-04-26 13:52:27,453] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=27#page:200
[2018-04-26 13:52:28,243] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=28 HTTP/1.1" 200 None
[2018-04-26 13:52:28,440] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=28#page:200
[2018-04-26 13:52:29,836] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=29 HTTP/1.1" 200 None
[2018-04-26 13:52:30,137] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=29#page:200
[2018-04-26 13:52:31,144] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=30 HTTP/1.1" 200 None
[2018-04-26 13:52:31,329] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=30#page:200
[2018-04-26 13:52:32,994] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=31 HTTP/1.1" 200 None
[2018-04-26 13:52:33,196] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=31#page:200
[2018-04-26 13:52:34,125] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=32 HTTP/1.1" 200 None
[2018-04-26 13:52:34,263] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=32#page:200
[2018-04-26 13:52:35,983] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=33 HTTP/1.1" 200 None
[2018-04-26 13:52:36,523] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=33#page:200
[2018-04-26 13:52:37,487] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=34 HTTP/1.1" 200 None
[2018-04-26 13:52:37,803] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=34#page:200
[2018-04-26 13:52:38,875] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=35 HTTP/1.1" 200 None
[2018-04-26 13:52:39,142] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=35#page:200
[2018-04-26 13:52:40,832] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=36 HTTP/1.1" 200 None
[2018-04-26 13:52:41,315] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=36#page:200
[2018-04-26 13:52:42,630] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=37 HTTP/1.1" 200 None
[2018-04-26 13:52:43,658] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=37#page:200
[2018-04-26 13:52:45,088] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=38 HTTP/1.1" 200 None
[2018-04-26 13:52:45,605] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=38#page:200
[2018-04-26 13:52:47,069] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=39 HTTP/1.1" 200 None
[2018-04-26 13:52:47,454] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=39#page:200
[2018-04-26 13:52:48,309] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=40 HTTP/1.1" 200 None
[2018-04-26 13:52:48,681] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=40#page:200
[2018-04-26 13:52:50,256] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=41 HTTP/1.1" 200 None
